algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548914019636;pure Nash;0.0;1;5;0.4;3;0;36;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914019636;pure Nash;0.0;1;5;0.4;3;0;70;7234;119228;790;4;0;0
DPOP;0;partyProblem_1548914020740;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548914020740;pure Nash;0.0;1;6;0.3333333333333333;3;0;63;9042;148544;667;2;0;0
DPOP;0;partyProblem_1548914021868;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13441;450;2;0;0
P-DPOP;0;partyProblem_1548914021868;pure Nash;0.0;1;7;0.2857142857142857;3;0;50;10852;178934;790;4;0;0
DPOP;0;partyProblem_1548914023032;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914023032;pure Nash;0.0;1;2;1.0;1;0;43;1808;29489;642;2;0;0
DPOP;0;partyProblem_1548914023733;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914023733;pure Nash;0.0;1;3;0.6666666666666666;2;0;52;3618;60101;642;3;0;0
DPOP;0;partyProblem_1548914024517;pure Nash;0.0;1;4;0.5;2;0;33;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914024517;pure Nash;0.0;1;4;0.5;2;0;55;5426;89703;641;3;0;0
DPOP;0;partyProblem_1548914025435;pure Nash;0.0;1;5;0.4;3;0;39;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548914025435;pure Nash;0.0;1;5;0.4;3;0;62;7236;120164;641;3;0;0
DPOP;0;partyProblem_1548914026628;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10766;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914026628;pure Nash;0.0;1;6;0.3333333333333333;3;0;61;9044;150204;790;4;infinity;infinity
DPOP;0;partyProblem_1548914027779;pure Nash;0.0;1;7;0.2857142857142857;3;0;34;63;13415;450;2;0;0
P-DPOP;0;partyProblem_1548914027779;pure Nash;0.0;1;7;0.2857142857142857;3;0;63;10856;181980;814;4;0;0
DPOP;0;partyProblem_1548914029094;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548914029094;pure Nash;0.0;1;2;1.0;1;0;47;1810;30290;538;2;infinity;infinity
DPOP;0;partyProblem_1548914029781;pure Nash;0.0;1;3;0.6666666666666666;2;0;28;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914029781;pure Nash;0.0;1;3;0.6666666666666666;2;0;56;3616;58988;642;2;0;0
DPOP;0;partyProblem_1548914030598;pure Nash;0.0;1;4;0.5;2;0;31;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914030598;pure Nash;0.0;1;4;0.5;2;0;53;5426;89497;642;3;0;0
DPOP;0;partyProblem_1548914031485;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548914031485;pure Nash;0.0;1;5;0.4;3;0;52;7232;118099;642;2;0;0
DPOP;0;partyProblem_1548914032521;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10766;450;2;0;0
P-DPOP;0;partyProblem_1548914032521;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9040;147604;642;2;0;0
DPOP;0;partyProblem_1548914033735;pure Nash;0.0;1;7;0.2857142857142857;3;0;42;63;13411;450;2;0;0
P-DPOP;0;partyProblem_1548914033735;pure Nash;0.0;1;7;0.2857142857142857;3;0;58;10856;183012;1272;6;0;0
DPOP;0;partyProblem_1548914035066;pure Nash;0.0;1;2;1.0;1;0;28;13;2639;447;2;0;0
P-DPOP;0;partyProblem_1548914035066;pure Nash;0.0;1;2;1.0;1;0;45;1810;30349;538;2;0;0
DPOP;0;partyProblem_1548914035875;pure Nash;0.0;1;3;0.6666666666666666;2;0;30;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914035875;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3616;58954;642;2;infinity;infinity
DPOP;0;partyProblem_1548914036731;pure Nash;0.0;1;4;0.5;2;0;38;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914036731;pure Nash;0.0;1;4;0.5;2;0;55;5424;88561;642;2;0;0
DPOP;0;partyProblem_1548914037715;pure Nash;0.0;1;5;0.4;3;0;36;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914037715;pure Nash;0.0;1;5;0.4;3;0;59;7238;121321;790;4;infinity;infinity
DPOP;0;partyProblem_1548914038814;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548914038814;pure Nash;0.0;1;6;0.3333333333333333;3;0;61;9040;147963;667;2;0;0
DPOP;0;partyProblem_1548914040002;pure Nash;0.0;1;7;0.2857142857142857;3;0;37;63;13425;450;2;0;0
P-DPOP;0;partyProblem_1548914040002;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10852;180279;890;4;0;0
DPOP;0;partyProblem_1548914041285;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914041285;pure Nash;0.0;1;2;1.0;1;0;44;1808;29496;642;2;0;0
DPOP;0;partyProblem_1548914042035;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914042035;pure Nash;0.0;1;3;0.6666666666666666;2;0;53;3618;59978;641;3;0;0
DPOP;0;partyProblem_1548914042933;pure Nash;0.0;1;4;0.5;2;0;29;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914042933;pure Nash;0.0;1;4;0.5;2;0;47;5426;89692;642;3;0;0
DPOP;0;partyProblem_1548914043868;pure Nash;0.0;1;5;0.4;3;0;33;40;8608;450;2;0;0
P-DPOP;0;partyProblem_1548914043868;pure Nash;0.0;1;5;0.4;3;0;66;7234;119565;641;3;0;0
DPOP;0;partyProblem_1548914044990;pure Nash;0.0;1;6;0.3333333333333333;3;0;35;50;10782;450;2;0;0
P-DPOP;0;partyProblem_1548914044990;pure Nash;0.0;1;6;0.3333333333333333;3;0;75;9040;147914;666;2;0;0
DPOP;0;partyProblem_1548914046139;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13611;450;3;0;0
P-DPOP;0;partyProblem_1548914046139;pure Nash;0.0;1;7;0.2857142857142857;3;0;58;10852;179728;840;4;0;0
DPOP;0;partyProblem_1548914047446;pure Nash;0.0;1;2;1.0;1;0;28;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548914047446;pure Nash;0.0;1;2;1.0;1;0;47;1810;30386;538;2;0;0
DPOP;0;partyProblem_1548914048140;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4302;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914048140;pure Nash;0.0;1;3;0.6666666666666666;2;0;61;3616;59108;642;2;infinity;infinity
DPOP;0;partyProblem_1548914048983;pure Nash;0.0;1;4;0.5;2;0;32;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914048983;pure Nash;0.0;1;4;0.5;2;0;48;5426;89688;642;3;0;0
DPOP;0;partyProblem_1548914049867;pure Nash;0.0;1;5;0.4;3;0;42;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548914049867;pure Nash;0.0;1;5;0.4;3;0;67;7236;120462;790;4;0;0
DPOP;0;partyProblem_1548914051063;pure Nash;0.0;1;6;0.3333333333333333;3;0;36;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548914051063;pure Nash;0.0;1;6;0.3333333333333333;3;0;63;9046;151243;790;4;0;0
DPOP;0;partyProblem_1548914052235;pure Nash;0.0;1;7;0.2857142857142857;3;0;36;64;13595;450;3;0;0
P-DPOP;0;partyProblem_1548914052235;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10854;180394;790;4;0;0
DPOP;0;partyProblem_1548914053517;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914053517;pure Nash;0.0;1;2;1.0;1;0;47;1810;30391;538;2;0;0
DPOP;0;partyProblem_1548914054213;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914054213;pure Nash;0.0;1;3;0.6666666666666666;2;0;59;3618;59948;642;2;0;0
DPOP;0;partyProblem_1548914055071;pure Nash;0.0;1;4;0.5;2;0;29;30;6468;450;2;0;0
P-DPOP;0;partyProblem_1548914055071;pure Nash;0.0;1;4;0.5;2;0;47;5428;90392;642;3;0;0
DPOP;0;partyProblem_1548914055954;pure Nash;0.0;1;5;0.4;3;0;34;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914055954;pure Nash;0.0;1;5;0.4;3;0;52;7236;120149;790;4;0;0
DPOP;0;partyProblem_1548914057073;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548914057073;pure Nash;0.0;1;6;0.3333333333333333;3;0;50;9042;148307;642;2;0;0
DPOP;0;partyProblem_1548914058130;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;64;13619;450;3;0;0
P-DPOP;0;partyProblem_1548914058130;pure Nash;0.0;1;7;0.2857142857142857;3;0;72;10856;185032;1613;7;0;0
DPOP;0;partyProblem_1548914059425;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914059425;pure Nash;0.0;1;2;1.0;1;0;46;1808;29550;642;2;0;0
DPOP;0;partyProblem_1548914060126;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914060126;pure Nash;0.0;1;3;0.6666666666666666;2;0;54;3618;60064;641;3;0;0
DPOP;0;partyProblem_1548914060982;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914060982;pure Nash;0.0;1;4;0.5;2;0;63;5426;89707;642;3;infinity;infinity
DPOP;0;partyProblem_1548914061933;pure Nash;0.0;1;5;0.4;3;0;34;40;8606;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914061933;pure Nash;0.0;1;5;0.4;3;0;50;7236;120702;790;4;infinity;infinity
DPOP;0;partyProblem_1548914062942;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10766;450;2;0;0
P-DPOP;0;partyProblem_1548914062942;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9044;149897;789;4;0;0
DPOP;0;partyProblem_1548914064169;pure Nash;0.0;1;7;0.2857142857142857;3;0;30;63;13417;450;2;0;0
P-DPOP;0;partyProblem_1548914064169;pure Nash;0.0;1;7;0.2857142857142857;3;0;64;10850;178471;690;4;0;0
DPOP;0;partyProblem_1548914065382;pure Nash;0.0;1;2;1.0;1;0;29;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914065382;pure Nash;0.0;1;2;1.0;1;0;43;1810;30421;538;2;0;0
DPOP;0;partyProblem_1548914066142;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914066142;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3618;60069;690;4;0;0
DPOP;0;partyProblem_1548914066965;pure Nash;0.0;1;4;0.5;2;0;30;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914066965;pure Nash;0.0;1;4;0.5;2;0;59;5430;92607;890;5;0;0
DPOP;0;partyProblem_1548914067876;pure Nash;0.0;1;5;0.4;3;0;31;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914067876;pure Nash;0.0;1;5;0.4;3;0;68;7234;119538;690;4;0;0
DPOP;0;partyProblem_1548914068895;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548914068895;pure Nash;0.0;1;6;0.3333333333333333;3;0;67;9042;148722;642;3;0;0
DPOP;0;partyProblem_1548914070073;pure Nash;0.0;1;7;0.2857142857142857;3;0;35;63;13389;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914070073;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10850;177726;667;4;infinity;infinity
DPOP;0;partyProblem_1548914071273;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914071273;pure Nash;0.0;1;2;1.0;1;0;43;1808;29479;640;2;0;0
DPOP;0;partyProblem_1548914071974;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914071974;pure Nash;0.0;1;3;0.6666666666666666;2;0;46;3618;59846;642;2;0;0
DPOP;0;partyProblem_1548914072812;pure Nash;0.0;1;4;0.5;2;0;41;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548914072812;pure Nash;0.0;1;4;0.5;2;0;48;5426;89696;642;3;0;0
DPOP;0;partyProblem_1548914073741;pure Nash;0.0;1;5;0.4;3;0;31;40;8622;450;2;0;0
P-DPOP;0;partyProblem_1548914073741;pure Nash;0.0;1;5;0.4;3;0;52;7234;118958;666;3;0;0
DPOP;0;partyProblem_1548914074741;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10834;450;2;0;0
P-DPOP;0;partyProblem_1548914074741;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9044;149544;642;3;0;0
DPOP;0;partyProblem_1548914075827;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13383;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914075827;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10854;180934;790;4;infinity;infinity
DPOP;0;partyProblem_1548914077102;pure Nash;0.0;1;2;1.0;1;0;28;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548914077102;pure Nash;0.0;1;2;1.0;1;0;46;1810;30370;538;2;0;0
DPOP;0;partyProblem_1548914077793;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914077793;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;60311;689;4;0;0
DPOP;0;partyProblem_1548914078578;pure Nash;0.0;1;4;0.5;2;0;34;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914078578;pure Nash;0.0;1;4;0.5;2;0;56;5428;90761;690;4;0;0
DPOP;0;partyProblem_1548914079496;pure Nash;0.0;1;5;0.4;3;0;35;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548914079496;pure Nash;0.0;1;5;0.4;3;0;54;7232;118217;689;2;0;0
DPOP;0;partyProblem_1548914080603;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10782;450;2;0;0
P-DPOP;0;partyProblem_1548914080603;pure Nash;0.0;1;6;0.3333333333333333;3;0;66;9044;149674;642;3;0;0
DPOP;0;partyProblem_1548914081741;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13389;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914081741;pure Nash;0.0;1;7;0.2857142857142857;3;0;65;10856;182591;972;6;infinity;infinity
DPOP;0;partyProblem_1548914082982;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914082982;pure Nash;0.0;1;2;1.0;1;0;44;1808;29490;641;2;0;0
DPOP;0;partyProblem_1548914083820;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914083820;pure Nash;0.0;1;3;0.6666666666666666;2;0;63;3616;58947;642;2;0;0
DPOP;0;partyProblem_1548914084678;pure Nash;0.0;1;4;0.5;2;0;37;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914084678;pure Nash;0.0;1;4;0.5;2;0;52;5426;89725;690;4;0;0
DPOP;0;partyProblem_1548914085625;pure Nash;0.0;1;5;0.4;3;0;44;40;8608;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914085625;pure Nash;0.0;1;5;0.4;3;0;62;7236;120348;790;4;infinity;infinity
DPOP;0;partyProblem_1548914086686;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548914086686;pure Nash;0.0;1;6;0.3333333333333333;3;0;75;9046;152532;1272;6;0;0
DPOP;0;partyProblem_1548914087869;pure Nash;0.0;1;7;0.2857142857142857;3;0;39;63;13421;450;2;0;0
P-DPOP;0;partyProblem_1548914087869;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10854;183578;2013;7;0;0
DPOP;0;partyProblem_1548914089157;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914089157;pure Nash;0.0;1;2;1.0;1;0;43;1810;30323;538;2;0;0
DPOP;0;partyProblem_1548914089855;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548914089855;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3618;60193;642;3;0;0
DPOP;0;partyProblem_1548914090676;pure Nash;0.0;1;4;0.5;2;0;30;30;6450;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914090676;pure Nash;0.0;1;4;0.5;2;0;54;5426;89524;629;3;infinity;infinity
DPOP;0;partyProblem_1548914091568;pure Nash;0.0;1;5;0.4;3;0;43;40;8616;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914091568;pure Nash;0.0;1;5;0.4;3;0;55;7238;121086;790;5;infinity;infinity
DPOP;0;partyProblem_1548914092812;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10784;450;2;0;0
P-DPOP;0;partyProblem_1548914092812;pure Nash;0.0;1;6;0.3333333333333333;3;0;72;9050;155145;1271;6;0;0
DPOP;0;partyProblem_1548914093985;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13431;450;2;0;0
P-DPOP;0;partyProblem_1548914093985;pure Nash;0.0;1;7;0.2857142857142857;3;0;59;10852;179527;790;4;0;0
DPOP;0;partyProblem_1548914095171;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548914095171;pure Nash;0.0;1;2;1.0;1;0;43;1810;30363;538;2;infinity;infinity
DPOP;0;partyProblem_1548914095852;pure Nash;0.0;1;3;0.6666666666666666;2;0;32;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914095852;pure Nash;0.0;1;3;0.6666666666666666;2;0;56;3616;59124;667;2;0;0
DPOP;0;partyProblem_1548914096701;pure Nash;0.0;1;4;0.5;2;0;32;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914096701;pure Nash;0.0;1;4;0.5;2;0;54;5426;89622;664;2;0;0
DPOP;0;partyProblem_1548914097683;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548914097683;pure Nash;0.0;1;5;0.4;3;0;48;7232;118279;642;2;0;0
DPOP;0;partyProblem_1548914098743;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;51;10824;450;2;0;0
P-DPOP;0;partyProblem_1548914098743;pure Nash;0.0;1;6;0.3333333333333333;3;0;62;9042;148606;667;3;0;0
DPOP;0;partyProblem_1548914099933;pure Nash;0.0;1;7;0.2857142857142857;3;0;36;63;13401;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914099933;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10850;178523;689;4;infinity;infinity
DPOP;0;partyProblem_1548914101213;pure Nash;0.0;1;2;1.0;1;0;29;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548914101213;pure Nash;0.0;1;2;1.0;1;0;43;1810;30283;538;2;0;0
DPOP;0;partyProblem_1548914101885;pure Nash;0.0;1;3;0.6666666666666666;2;0;34;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548914101885;pure Nash;0.0;1;3;0.6666666666666666;2;0;55;3618;60210;641;3;0;0
DPOP;0;partyProblem_1548914102736;pure Nash;0.0;1;4;0.5;2;0;39;30;6460;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914102736;pure Nash;0.0;1;4;0.5;2;0;50;5426;89333;640;2;infinity;infinity
DPOP;0;partyProblem_1548914103650;pure Nash;0.0;1;5;0.4;3;0;37;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548914103650;pure Nash;0.0;1;5;0.4;3;0;51;7238;121246;789;4;0;0
DPOP;0;partyProblem_1548914104717;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10770;450;2;0;0
P-DPOP;0;partyProblem_1548914104717;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9046;150592;789;4;0;0
DPOP;0;partyProblem_1548914105875;pure Nash;0.0;1;7;0.2857142857142857;3;0;37;63;13425;450;2;0;0
P-DPOP;0;partyProblem_1548914105875;pure Nash;0.0;1;7;0.2857142857142857;3;0;65;10850;178455;790;4;0;0
DPOP;0;partyProblem_1548914107132;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914107132;pure Nash;0.0;1;2;1.0;1;0;48;1810;30349;538;2;0;0
DPOP;0;partyProblem_1548914107845;pure Nash;0.0;1;3;0.6666666666666666;2;0;31;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548914107845;pure Nash;0.0;1;3;0.6666666666666666;2;0;45;3616;59083;642;2;0;0
DPOP;0;partyProblem_1548914108649;pure Nash;0.0;1;4;0.5;2;0;33;30;6466;450;2;0;0
P-DPOP;0;partyProblem_1548914108649;pure Nash;0.0;1;4;0.5;2;0;52;5430;91445;629;3;0;0
DPOP;0;partyProblem_1548914109548;pure Nash;0.0;1;5;0.4;3;0;32;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548914109548;pure Nash;0.0;1;5;0.4;3;0;55;7236;120276;790;4;0;0
DPOP;0;partyProblem_1548914110551;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;50;10776;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914110551;pure Nash;0.0;1;6;0.3333333333333333;3;0;60;9044;149964;790;4;infinity;infinity
DPOP;0;partyProblem_1548914111683;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;64;13613;450;3;0;0
P-DPOP;0;partyProblem_1548914111683;pure Nash;0.0;1;7;0.2857142857142857;3;0;61;10848;177233;667;2;0;0
DPOP;0;partyProblem_1548914112937;pure Nash;0.0;1;2;1.0;1;0;28;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914112937;pure Nash;0.0;1;2;1.0;1;0;42;1810;30292;538;2;0;0
DPOP;0;partyProblem_1548914113619;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914113619;pure Nash;0.0;1;3;0.6666666666666666;2;0;50;3620;61006;629;3;0;0
DPOP;0;partyProblem_1548914114430;pure Nash;0.0;1;4;0.5;2;0;32;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914114430;pure Nash;0.0;1;4;0.5;2;0;56;5426;89783;690;4;0;0
DPOP;0;partyProblem_1548914115319;pure Nash;0.0;1;5;0.4;3;0;36;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914115319;pure Nash;0.0;1;5;0.4;3;0;54;7238;121518;790;4;0;0
DPOP;0;partyProblem_1548914116510;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;50;10768;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914116510;pure Nash;0.0;1;6;0.3333333333333333;3;0;64;9044;150872;1072;6;infinity;infinity
DPOP;0;partyProblem_1548914117656;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;63;13383;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914117656;pure Nash;0.0;1;7;0.2857142857142857;3;0;59;10850;177570;641;2;infinity;infinity
DPOP;0;partyProblem_1548914118839;pure Nash;0.0;1;2;1.0;1;0;30;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548914118839;pure Nash;0.0;1;2;1.0;1;0;44;1808;29429;642;2;0;0
DPOP;0;partyProblem_1548914119535;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914119535;pure Nash;0.0;1;3;0.6666666666666666;2;0;60;3620;60954;629;3;0;0
DPOP;0;partyProblem_1548914120333;pure Nash;0.0;1;4;0.5;2;0;31;30;6450;450;2;0;0
P-DPOP;0;partyProblem_1548914120333;pure Nash;0.0;1;4;0.5;2;0;58;5428;90474;629;3;0;0
DPOP;0;partyProblem_1548914121236;pure Nash;0.0;1;5;0.4;3;0;35;40;8622;450;2;0;0
P-DPOP;0;partyProblem_1548914121236;pure Nash;0.0;1;5;0.4;3;0;57;7236;121950;1272;6;0;0
DPOP;0;partyProblem_1548914122385;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10774;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914122385;pure Nash;0.0;1;6;0.3333333333333333;3;0;78;9046;157003;2674;8;infinity;infinity
DPOP;0;partyProblem_1548914123584;pure Nash;0.0;1;7;0.2857142857142857;3;0;31;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548914123584;pure Nash;0.0;1;7;0.2857142857142857;3;0;73;10850;178621;789;4;0;0
DPOP;0;partyProblem_1548914124845;pure Nash;0.0;1;2;1.0;1;0;35;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548914124845;pure Nash;0.0;1;2;1.0;1;0;45;1810;30343;538;2;infinity;infinity
DPOP;0;partyProblem_1548914125541;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548914125541;pure Nash;0.0;1;3;0.6666666666666666;2;0;47;3620;60907;629;3;0;0
DPOP;0;partyProblem_1548914126358;pure Nash;0.0;1;4;0.5;2;0;31;30;6458;450;2;0;0
P-DPOP;0;partyProblem_1548914126358;pure Nash;0.0;1;4;0.5;2;0;52;5428;90273;641;3;0;0
DPOP;0;partyProblem_1548914127290;pure Nash;0.0;1;5;0.4;3;0;34;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548914127290;pure Nash;0.0;1;5;0.4;3;0;52;7234;119412;690;4;0;0
DPOP;0;partyProblem_1548914128373;pure Nash;0.0;1;6;0.3333333333333333;3;0;35;51;10824;450;2;0;0
P-DPOP;0;partyProblem_1548914128373;pure Nash;0.0;1;6;0.3333333333333333;3;0;63;9044;149276;667;3;0;0
DPOP;0;partyProblem_1548914129532;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548914129532;pure Nash;0.0;1;7;0.2857142857142857;3;0;53;10852;179311;690;4;0;0
DPOP;0;partyProblem_1548914130755;pure Nash;0.0;1;2;1.0;1;0;28;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548914130755;pure Nash;0.0;1;2;1.0;1;0;46;1808;29523;642;2;0;0
DPOP;0;partyProblem_1548914131435;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548914131435;pure Nash;0.0;1;3;0.6666666666666666;2;0;49;3618;60080;629;3;infinity;infinity
DPOP;0;partyProblem_1548914132280;pure Nash;0.0;1;4;0.5;2;0;30;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548914132280;pure Nash;0.0;1;4;0.5;2;0;61;5424;88560;642;2;0;0
