algorithm;timed out;problem instance;equilibrium type;margin of error;number of disconnected components of the party graph;number of players;party graph average density;party graph max degree;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;partyProblem_1548913642781;pure Nash;0.0;1;5;0.4;3;0;38;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913642781;pure Nash;0.0;1;5;0.4;3;0;60;7238;122508;841;5;0;0
DPOP;0;partyProblem_1548913643988;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10770;450;2;0;0
P-DPOP;0;partyProblem_1548913643988;pure Nash;0.0;1;6;0.3333333333333333;3;0;58;9044;150114;790;4;0;0
DPOP;0;partyProblem_1548913645234;pure Nash;0.0;1;7;0.2857142857142857;3;0;40;64;13603;450;3;0;0
P-DPOP;0;partyProblem_1548913645234;pure Nash;0.0;1;7;0.2857142857142857;3;0;60;10852;179561;790;4;0;0
DPOP;0;partyProblem_1548913646515;pure Nash;0.0;1;2;1.0;1;0;29;13;2605;447;2;infinity;infinity
P-DPOP;0;partyProblem_1548913646515;pure Nash;0.0;1;2;1.0;1;0;51;1808;29439;642;2;infinity;infinity
DPOP;0;partyProblem_1548913647198;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913647198;pure Nash;0.0;1;3;0.6666666666666666;2;0;60;3618;60010;641;3;0;0
DPOP;0;partyProblem_1548913648018;pure Nash;0.0;1;4;0.5;2;0;32;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913648018;pure Nash;0.0;1;4;0.5;2;0;47;5426;89547;642;3;0;0
DPOP;0;partyProblem_1548913648932;pure Nash;0.0;1;5;0.4;3;0;47;40;8608;450;2;0;0
P-DPOP;0;partyProblem_1548913648932;pure Nash;0.0;1;5;0.4;3;0;54;7234;118982;642;2;0;0
DPOP;0;partyProblem_1548913650050;pure Nash;0.0;1;6;0.3333333333333333;3;0;32;51;10808;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913650050;pure Nash;0.0;1;6;0.3333333333333333;3;0;61;9048;155384;2013;7;infinity;infinity
DPOP;0;partyProblem_1548913651170;pure Nash;0.0;1;7;0.2857142857142857;3;0;34;63;13413;450;2;0;0
P-DPOP;0;partyProblem_1548913651170;pure Nash;0.0;1;7;0.2857142857142857;3;0;51;10850;178228;790;4;0;0
DPOP;0;partyProblem_1548913652359;pure Nash;0.0;1;2;1.0;1;0;29;13;2645;447;2;0;0
P-DPOP;0;partyProblem_1548913652359;pure Nash;0.0;1;2;1.0;1;0;44;1810;30317;538;2;0;0
DPOP;0;partyProblem_1548913653050;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4302;450;2;0;0
P-DPOP;0;partyProblem_1548913653050;pure Nash;0.0;1;3;0.6666666666666666;2;0;62;3620;60783;629;3;0;0
DPOP;0;partyProblem_1548913653882;pure Nash;0.0;1;4;0.5;2;0;29;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913653882;pure Nash;0.0;1;4;0.5;2;0;53;5428;90929;639;3;0;0
DPOP;0;partyProblem_1548913654810;pure Nash;0.0;1;5;0.4;3;0;33;40;8612;450;2;0;0
P-DPOP;0;partyProblem_1548913654810;pure Nash;0.0;1;5;0.4;3;0;52;7234;119294;642;3;0;0
DPOP;0;partyProblem_1548913655888;pure Nash;0.0;1;6;0.3333333333333333;3;0;31;50;10776;450;2;0;0
P-DPOP;0;partyProblem_1548913655888;pure Nash;0.0;1;6;0.3333333333333333;3;0;51;9042;148452;642;3;0;0
DPOP;0;partyProblem_1548913657012;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;64;13613;450;3;0;0
P-DPOP;0;partyProblem_1548913657012;pure Nash;0.0;1;7;0.2857142857142857;3;0;68;10848;177232;667;2;0;0
DPOP;0;partyProblem_1548913658237;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913658237;pure Nash;0.0;1;2;1.0;1;0;52;1808;29558;642;2;0;0
DPOP;0;partyProblem_1548913658940;pure Nash;0.0;1;3;0.6666666666666666;2;0;33;20;4302;450;2;infinity;infinity
P-DPOP;0;partyProblem_1548913658940;pure Nash;0.0;1;3;0.6666666666666666;2;0;48;3620;60805;629;3;infinity;infinity
DPOP;0;partyProblem_1548913659758;pure Nash;0.0;1;4;0.5;2;0;29;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913659758;pure Nash;0.0;1;4;0.5;2;0;55;5424;88672;642;2;0;0
DPOP;0;partyProblem_1548913660661;pure Nash;0.0;1;5;0.4;3;0;43;40;8616;450;2;0;0
P-DPOP;0;partyProblem_1548913660661;pure Nash;0.0;1;5;0.4;3;0;54;7232;118141;642;2;0;0
DPOP;0;partyProblem_1548913661731;pure Nash;0.0;1;6;0.3333333333333333;3;0;34;50;10774;450;2;0;0
P-DPOP;0;partyProblem_1548913661731;pure Nash;0.0;1;6;0.3333333333333333;3;0;56;9042;148771;642;2;0;0
DPOP;0;partyProblem_1548913662963;pure Nash;0.0;1;7;0.2857142857142857;3;0;33;63;13429;450;2;0;0
P-DPOP;0;partyProblem_1548913662963;pure Nash;0.0;1;7;0.2857142857142857;3;0;73;10850;178358;840;4;0;0
DPOP;0;partyProblem_1548913664264;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913664264;pure Nash;0.0;1;2;1.0;1;0;49;1808;29501;641;2;0;0
DPOP;0;partyProblem_1548913664977;pure Nash;0.0;1;3;0.6666666666666666;2;0;29;20;4304;450;2;0;0
P-DPOP;0;partyProblem_1548913664977;pure Nash;0.0;1;3;0.6666666666666666;2;0;54;3616;59098;642;2;0;0
DPOP;0;partyProblem_1548913665786;pure Nash;0.0;1;4;0.5;2;0;29;30;6460;450;2;0;0
P-DPOP;0;partyProblem_1548913665786;pure Nash;0.0;1;4;0.5;2;0;51;5426;89380;642;2;0;0
DPOP;0;partyProblem_1548913666743;pure Nash;0.0;1;5;0.4;3;0;30;40;8614;450;2;0;0
P-DPOP;0;partyProblem_1548913666743;pure Nash;0.0;1;5;0.4;3;0;68;7234;119400;790;4;0;0
DPOP;0;partyProblem_1548913667854;pure Nash;0.0;1;6;0.3333333333333333;3;0;33;51;10832;450;2;0;0
P-DPOP;0;partyProblem_1548913667854;pure Nash;0.0;1;6;0.3333333333333333;3;0;53;9048;151862;790;4;0;0
DPOP;0;partyProblem_1548913669059;pure Nash;0.0;1;7;0.2857142857142857;3;0;32;63;13405;450;2;0;0
P-DPOP;0;partyProblem_1548913669059;pure Nash;0.0;1;7;0.2857142857142857;3;0;58;10856;181908;841;5;0;0
DPOP;0;partyProblem_1548913670250;pure Nash;0.0;1;2;1.0;1;0;31;13;2637;447;2;0;0
P-DPOP;0;partyProblem_1548913670250;pure Nash;0.0;1;2;1.0;1;0;47;1810;30309;538;2;0;0
DPOP;0;partyProblem_1548913670944;pure Nash;0.0;1;3;0.6666666666666666;2;0;27;20;4304;450;2;infinity;infinity
