algorithm;timed out;problem instance;domain size;max degree;number of disconnected components;number of variables;target density p1;target tightness p2;true average density p1;true average tightness p2;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
AFB;0;randomMaxDisCSP_1548906841214;10;6;1;10;0.4;0.8;0.4;0.807222222222199;286260;87;19748;2033575;454;0;2;2
DPOP;0;randomMaxDisCSP_1548906841214;10;6;1;10;0.4;0.8;0.4;0.807222222222199;251100;51;108;86555;40797;4;2;2
AFB;0;randomMaxDisCSP_1548906842665;10;6;1;10;0.4;0.9;0.4;0.9099999999999723;2067660;249;109249;13901487;454;0;6;6
DPOP;0;randomMaxDisCSP_1548906842665;10;6;1;10;0.4;0.9;0.4;0.9099999999999723;621100;84;109;119597;40797;4;6;6
AFB;0;randomMaxDisCSP_1548906846324;10;5;1;10;0.4;0.99;0.4;0.9938888888888575;321140;71;21945;2303345;454;0;14;14
DPOP;0;randomMaxDisCSP_1548906846324;10;5;1;10;0.4;0.99;0.4;0.9938888888888575;71100;44;109;54018;4573;3;14;14
AFB;0;randomMaxDisCSP_1548906847794;10;6;2;10;0.4;0.4;0.4;0.40666666666666085;5080;19;5876;174990;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906847794;10;6;2;10;0.4;0.4;0.4;0.40666666666666085;632100;73;104;118272;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906848753;10;6;1;10;0.4;0.5;0.4;0.5094444444444342;7710;23;6015;203136;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906848753;10;6;1;10;0.4;0.5;0.4;0.5094444444444342;351100;69;108;83263;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906849719;10;5;2;10;0.4;0.6;0.4;0.6022222222222079;32860;32;6998;316369;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906849719;10;5;2;10;0.4;0.6;0.4;0.6022222222222079;351100;54;105;85720;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906850716;10;5;1;10;0.4;0.7;0.4;0.701666666666648;103870;43;10210;752786;454;0;1;1
DPOP;0;randomMaxDisCSP_1548906850716;10;5;1;10;0.4;0.7;0.4;0.701666666666648;542100;88;109;122822;40797;4;1;1
AFB;0;randomMaxDisCSP_1548906851863;10;7;1;10;0.4;0.8;0.4;0.8244444444444204;5597810;488;201523;26464261;454;0;3;3
DPOP;0;randomMaxDisCSP_1548906851863;10;7;1;10;0.4;0.8;0.4;0.8244444444444204;342100;64;108;83300;40797;4;3;3
AFB;0;randomMaxDisCSP_1548906857777;10;5;1;10;0.4;0.9;0.4;0.9061111111110836;1641570;220;94463;11993865;454;0;6;6
DPOP;0;randomMaxDisCSP_1548906857777;10;5;1;10;0.4;0.9;0.4;0.9061111111110836;454100;88;109;123240;40797;4;6;6
AFB;0;randomMaxDisCSP_1548906861113;10;6;1;10;0.4;0.99;0.4;0.9916666666666354;7472860;564;301679;41518089;454;0;13;13
DPOP;0;randomMaxDisCSP_1548906861113;10;6;1;10;0.4;0.99;0.4;0.9916666666666354;64100;46;108;47061;4573;3;13;13
AFB;0;randomMaxDisCSP_1548906868735;10;6;2;10;0.4;0.4;0.4;0.40111111111110553;4730;23;5773;162559;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906868735;10;6;2;10;0.4;0.4;0.4;0.40111111111110553;552100;68;104;121894;40797;4;0;0
AFB;0;randomMaxDisCSP_1548906869690;10;6;2;10;0.4;0.5;0.4;0.5122222222222118;14870;31;6284;228378;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906869690;10;6;2;10;0.4;0.5;0.4;0.5122222222222118;3362100;169;104;487455;402602;5;0;0
AFB;0;randomMaxDisCSP_1548906870822;10;5;1;10;0.4;0.6;0.4;0.6049999999999855;15280;31;6330;248002;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906870822;10;5;1;10;0.4;0.6;0.4;0.6049999999999855;2251100;237;109;520917;402602;5;0;0
AFB;0;randomMaxDisCSP_1548906872052;10;7;1;10;0.4;0.7;0.4;0.7011111111110925;187720;62;15495;1425082;454;0;2;2
DPOP;0;randomMaxDisCSP_1548906872052;10;7;1;10;0.4;0.7;0.4;0.7011111111110925;352100;83;108;82444;40797;4;2;2
AFB;0;randomMaxDisCSP_1548906873381;10;7;1;10;0.4;0.8;0.4;0.798888888888866;283600;69;15151;1380709;454;0;1;1
DPOP;0;randomMaxDisCSP_1548906873381;10;7;1;10;0.4;0.8;0.4;0.798888888888866;912100;98;108;155784;40797;4;1;1
AFB;0;randomMaxDisCSP_1548906874801;10;7;1;10;0.4;0.9;0.4;0.904444444444417;1825190;233;133189;17331500;454;0;6;6
DPOP;0;randomMaxDisCSP_1548906874801;10;7;1;10;0.4;0.9;0.4;0.904444444444417;632100;89;108;122794;40797;4;6;6
AFB;0;randomMaxDisCSP_1548906878928;10;5;1;10;0.4;0.99;0.4;0.9888888888888577;85564080;7853;4967712;689943164;454;0;13;13
DPOP;0;randomMaxDisCSP_1548906878928;10;5;1;10;0.4;0.99;0.4;0.9888888888888577;454100;69;108;123183;40797;4;13;13
AFB;0;randomMaxDisCSP_1548906991077;10;6;1;10;0.4;0.4;0.4;0.4055555555555498;6300;19;6074;211357;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906991077;10;6;1;10;0.4;0.4;0.4;0.4055555555555498;85100;32;108;43363;4573;3;0;0
AFB;0;randomMaxDisCSP_1548906991990;10;5;1;10;0.4;0.5;0.4;0.5088888888888786;10230;23;6067;210380;454;0;0;0
DPOP;0;randomMaxDisCSP_1548906991990;10;5;1;10;0.4;0.5;0.4;0.5088888888888786;533100;68;109;126945;40797;4;0;0
