algorithm;timed out;problem instance;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
ADOPT;0;graphColoring_1548891963256;5;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;22;259;21004;456;0;0;0
DPOP;0;graphColoring_1548891963256;5;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;32;56;14025;475;2;0;0
ADOPT;1;graphColoring_1548891963922;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;graphColoring_1548891963922;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;72;18562;680;3;infinity;infinity
ADOPT;0;graphColoring_1548893789901;7;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;32;752;48469;456;0;0;0
DPOP;0;graphColoring_1548893789901;7;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;31;88;23294;726;3;0;0
ADOPT;0;graphColoring_1548893790701;7;3;2;10;0;0.4;0.0;0.4;0.0;0;34;2087;106153;456;0;infinity;infinity
DPOP;0;graphColoring_1548893790701;7;3;2;10;0;0.4;0.0;0.4;0.0;0;26;104;30199;1399;4;infinity;infinity
ADOPT;0;graphColoring_1548893791561;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;19;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893791561;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;25;8;1897;417;1;0;0
ADOPT;0;graphColoring_1548893792120;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;25;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893792120;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;23;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548893792721;3;3;1;5;0;0.4;0.0;0.4;0.0;0;31;80;9466;456;0;0;0
DPOP;0;graphColoring_1548893792721;3;3;1;5;0;0.4;0.0;0.4;0.0;0;26;32;7617;417;1;0;0
ADOPT;0;graphColoring_1548893793348;4;3;1;6;0;0.4;0.0;0.4;0.0;0;21;169;15321;456;0;0;0
DPOP;0;graphColoring_1548893793348;4;3;1;6;0;0.4;0.0;0.4;0.0;0;25;44;10819;473;2;0;0
ADOPT;0;graphColoring_1548893794026;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;21;222;19922;456;0;0;0
DPOP;0;graphColoring_1548893794026;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;28;52;13421;475;2;0;0
ADOPT;0;graphColoring_1548893794706;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;30;428;31928;456;0;0;0
DPOP;0;graphColoring_1548893794706;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;29;74;18959;680;3;0;0
ADOPT;0;graphColoring_1548893795397;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;37;1753;83486;456;0;infinity;infinity
DPOP;0;graphColoring_1548893795397;5;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;27;88;23287;728;3;infinity;infinity
ADOPT;0;graphColoring_1548893796186;5;3;1;10;0;0.4;0.0;0.4;0.0;0;41;4341;212826;456;0;0;0
DPOP;0;graphColoring_1548893796186;5;3;1;10;0;0.4;0.0;0.4;0.0;0;27;108;30880;1257;4;0;0
ADOPT;0;graphColoring_1548893797176;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;21;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893797176;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;23;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893797784;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;26;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893797784;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;16;3806;417;1;0;0
ADOPT;0;graphColoring_1548893798369;2;3;2;5;0;0.4;0.0;0.4;0.0;0;28;94;9740;456;0;0;0
DPOP;0;graphColoring_1548893798369;2;3;2;5;0;0.4;0.0;0.4;0.0;0;23;31;7264;473;2;0;0
ADOPT;0;graphColoring_1548893799030;4;3;2;6;0;0.4;0.0;0.4;0.0;0;30;142;13880;456;0;0;0
DPOP;0;graphColoring_1548893799030;4;3;2;6;0;0.4;0.0;0.4;0.0;0;22;40;10208;473;2;0;0
ADOPT;0;graphColoring_1548893799678;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;29;207;19649;456;0;0;0
DPOP;0;graphColoring_1548893799678;4;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;25;56;14139;475;2;0;0
ADOPT;0;graphColoring_1548893800337;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;32;648;40415;456;0;0;0
DPOP;0;graphColoring_1548893800337;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;26;72;18636;475;2;0;0
ADOPT;0;graphColoring_1548893801061;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;26;485;38567;456;0;0;0
DPOP;0;graphColoring_1548893801061;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;29;88;23368;678;3;0;0
ADOPT;0;graphColoring_1548893801844;8;3;2;10;0;0.4;0.0;0.4;0.0;0;44;5010;227903;456;0;infinity;infinity
DPOP;0;graphColoring_1548893801844;8;3;2;10;0;0.4;0.0;0.4;0.0;0;25;104;28417;680;3;infinity;infinity
ADOPT;0;graphColoring_1548893802831;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;19;14;2184;456;0;0;0
DPOP;0;graphColoring_1548893802831;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;24;8;1899;417;1;0;0
ADOPT;0;graphColoring_1548893803419;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;21;32;4474;456;0;0;0
DPOP;0;graphColoring_1548893803419;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;20;16;3808;417;1;0;0
ADOPT;0;graphColoring_1548893804005;2;3;2;5;0;0.4;0.0;0.4;0.0;0;16;71;8790;456;0;0;0
DPOP;0;graphColoring_1548893804005;2;3;2;5;0;0.4;0.0;0.4;0.0;0;19;29;7043;475;2;0;0
ADOPT;0;graphColoring_1548893804626;3;3;1;6;0;0.4;0.0;0.4;0.0;0;27;153;15294;456;0;0;0
DPOP;0;graphColoring_1548893804626;3;3;1;6;0;0.4;0.0;0.4;0.0;0;24;45;11102;475;2;0;0
ADOPT;0;graphColoring_1548893805310;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;32;196;19031;456;0;0;0
